password_sample,f_length,f_char_class_count,f_has_lowercase,f_has_uppercase,f_has_digit,f_has_symbol,f_dictionary_present,f_has_leetspeak,f_numeric_prefix,f_numeric_suffix,f_numeric_infix,f_has_sequence,f_has_repetition,f_rule_pattern_present,recommendation_label
recrossed,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
zootomies,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
remould,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
antemarital,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
bubs,4,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
korec,5,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
functionation,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
scriptorial,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
matagalpan,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
qualityship,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
deliliria,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
capitalizations,15,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
mongibel,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
thurl,5,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
bacteroidal,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
forsaking,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
gilenyer,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
postcards,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
darzee,6,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
pontificating,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cacodoxian,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
prisoner,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
insomnious,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
araua,5,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
prothallia,10,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
highland,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
bret,4,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
saccharoceptive,15,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
underdevelope,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
automatical,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sampans,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
babaylan,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unconversableness,17,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
cinephone,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
chemotrophic,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
autodial,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
fratchy,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cunit,5,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
saltarello,10,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
pamilihan ng sapi,17,2,1,0,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
confutable,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
mineral,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
zoroastrianism,14,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
telltale,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
unfructuous,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
monocytes,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
virology,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
tetanically,11,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
castration,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
hangingly,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sulphosol,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
mightily,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
mahinang klase,14,2,1,0,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
mastoid,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
powcat,6,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unhomogeneous,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
hexandry,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
tractorize,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
converginerved,14,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unbraze,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
checkerwork,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
phagocytolysis,14,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unturnable,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
abdicant,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
depo,4,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cellists,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
archdukedom,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
lasagnes,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
anthochlor,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
dataset,7,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
nacred,6,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
crocodiles,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
subjudicial,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sprockets,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
tonetician,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
teruteru,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
overcharge,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sphacelus,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
tescaria,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cesarian,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
penthouselike,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
blastocoele,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
attaste,7,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
intraprocessor,14,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
antipodagron,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
darwinism,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
hydrostatic,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
protistan,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
ruralism,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
parcidentate,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
ommatidium,10,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
principals,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
supercombing,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
baselike,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
comournful,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
moorbird,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
radiobroadcast,14,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sceliphron,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
trimorph,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
parceners,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
analepsis,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
burroughs,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
indicant,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
dactylopatagium,15,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
proreferendum,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
hemapophysis,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
chaplainry,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cerimans,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unsatisfiable,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
crotaline,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
palaeosaurus,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cespititious,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
uprightness,11,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
agateware,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
dextrotropous,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
coalhole,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unbrotherly,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
rambutan,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
antidivine,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
biologese,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
fantasque,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
ripplers,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
nigrosine,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
apsidally,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
nonrejection,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
archleader,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
condescensions,14,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
microcephalic,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
stoneground,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
uniseriately,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
curriers,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
unneeded,8,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
gratuitant,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
hysteromyoma,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
vinaceous,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
carwashes,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
dromedaries,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
disapprovable,13,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
coadaptations,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
compatibilities,15,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sorbitan,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sashayed,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
subastragaloid,14,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
saliksik,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
abstractions,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unshameful,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
coadapted,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
misthrow,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
pathomorphological,18,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
justiceweed,11,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
ringbone,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
unopposed,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
mag-angkas,10,2,1,0,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
blushers,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
nakatala (ang -),16,2,1,0,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
weirdoes,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
cyclodiene,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
crablike,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
collegialism,12,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
carijona,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
villagelike,11,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
unphlegmatically,16,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
pangmekaniko,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
throttled,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
reappreciate,12,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
unregainable,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
prebronze,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
competently,11,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
pudicity,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
wellcontent,11,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
childless,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
distinguishability,18,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
disseizee,9,1,1,0,0,0,1,0,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
leanings,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
mesmerizer,10,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
pasariwa,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
regaluhan,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
overwary,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
adolescently,12,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
acousmas,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
housetops,9,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
overshadowing,13,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
enskying,8,1,1,0,0,0,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
v0lutid@e1,10,3,1,0,1,1,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
Preconfine*,11,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
n0nc0incident@l22,17,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
h@nt@r@n22,10,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
#unprosecuting123,17,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
Decurrent!,10,3,1,1,0,1,1,1,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
vibr@ntly22,11,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
!coxalgias123,13,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
cocobolos123,12,2,1,0,1,0,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
@frivolizing99,14,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
b00mless22,10,2,1,0,1,0,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
0verst@ff1,10,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
Biloculine%,11,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
interthreading99,16,2,1,0,1,0,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
Diminishable%,13,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
%paragram123,12,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
acenaphthylene12,16,2,1,0,1,0,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
#anthramine99,13,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
lung00r22,9,2,1,0,1,0,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
%nashira123,11,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
Iberic%,7,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
gig@d0id1,9,3,1,0,1,1,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
unconcludingness99,18,2,1,0,1,0,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
@saklit99,9,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
capsulated12,12,2,1,0,1,0,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
creditrix123,12,2,1,0,1,0,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
shore99,7,2,1,0,1,0,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
staircases123,13,2,1,0,1,0,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
Ironwares%,10,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
*rampancies99,13,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
ultimatum2024,13,2,1,0,1,0,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
accouchement2024,16,2,1,0,1,0,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
$silangan99,11,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
#subseres99,11,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
*lesbians99,11,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
*pumalit99,10,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
&noninclusively99,17,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
cameloid99,10,2,1,0,1,0,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
@positum99,10,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
!gasconism99,12,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
@palibutan123,13,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
p@pey1,6,3,1,0,1,1,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
inter@xill@ry22,15,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
cyclistic2024,13,2,1,0,1,0,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
*oracular123,12,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
Thermosystaltic#,16,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
Sheenly!,8,3,1,1,0,1,1,1,0,0,0,0,1,1,AVOID_DICTIONARY_WORDS
Talkier@,8,3,1,1,0,1,1,1,0,0,0,0,0,1,AVOID_DICTIONARY_WORDS
key12,5,2,1,0,1,0,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
ngulila123,10,2,1,0,1,0,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
philosophicotheological123,26,2,1,0,1,0,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
Anaqua*,7,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
sim@n@1,7,3,1,0,1,1,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
$ys123,6,3,1,0,1,1,1,1,0,1,0,1,0,1,AVOID_DICTIONARY_WORDS
*muckrakers99,13,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
@ll0cr0t0nic22,14,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
amusee123,9,2,1,0,1,0,1,1,0,1,0,1,1,1,AVOID_DICTIONARY_WORDS
unsymbolised2024,16,2,1,0,1,0,1,1,0,1,0,0,0,1,AVOID_DICTIONARY_WORDS
caffeins99,10,2,1,0,1,0,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
Psilanthropic!,14,3,1,1,0,1,1,1,0,0,0,0,0,1,AVOID_DICTIONARY_WORDS
%echoed99,9,3,1,0,1,1,1,0,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
c0here22,8,2,1,0,1,0,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
Hilerahan*,10,3,1,1,0,1,1,0,0,0,0,0,0,0,AVOID_DICTIONARY_WORDS
p@ttid@ri22,11,3,1,0,1,1,1,1,0,1,0,0,1,1,AVOID_DICTIONARY_WORDS
!breathlessness123,18,3,1,0,1,1,1,1,0,1,0,1,1,1,AVOID_DICTIONARY_WORDS
